Date,Ticker,Sector,Close,Return
11-06-2020,UPL,FERTILISERS & PESTICIDES,417.45,-0.441211543
11-06-2020,VEDL,METALS,101.05,7.901761879
11-06-2020,WIPRO,IT,212.9,-0.999767496
11-06-2020,ZEEL,MEDIA & ENTERTAINMENT,175.95,-5.352339968
12-06-2020,ADANIPORTS,SERVICES,345.3,4.842872324
12-06-2020,ASIANPAINT,CONSUMER GOODS,1637.35,-3.30134357
12-06-2020,AXISBANK,FINANCIAL SERVICES,408,2.78372591
12-06-2020,BAJAJ-AUTO,AUTOMOBILE,2782.15,0.864663017
12-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5285.95,10.97476486
12-06-2020,BAJFINANCE,FINANCIAL SERVICES,2450.15,13.38824999
12-06-2020,BHARTIARTL,TELECOM,560.1,0.187818621
12-06-2020,BPCL,OIL & GAS,373.9,7.969968236
12-06-2020,BRITANNIA,CONSUMER GOODS,3366.05,-2.002998675
12-06-2020,CIPLA,PHARMA,643.6,0.171206226
12-06-2020,COALINDIA,METALS,134.65,-9.357118815
12-06-2020,DRREDDY,PHARMA,4007.95,1.375978551
12-06-2020,EICHERMOT,AUTOMOBILE,16857.3,-0.756222127
12-06-2020,GAIL,OIL & GAS,96.35,4.785209353
12-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,601.95,3.161953728
12-06-2020,HCLTECH,IT,570.75,1.965163019
12-06-2020,HDFC,FINANCIAL SERVICES,1792.2,3.136329631
12-06-2020,HDFCBANK,FINANCIAL SERVICES,982.75,-0.496127171
12-06-2020,HEROMOTOCO,AUTOMOBILE,2401.85,3.247646477
12-06-2020,HINDALCO,METALS,146.05,4.958677686
12-06-2020,HINDUNILVR,CONSUMER GOODS,2107.25,-0.061653743
12-06-2020,ICICIBANK,FINANCIAL SERVICES,344.2,1.459100958
12-06-2020,INDUSINDBK,FINANCIAL SERVICES,528.45,28.85881492
12-06-2020,INFRATEL,TELECOM,225,0.334448161
12-06-2020,INFY,IT,692.05,-1.07211779
12-06-2020,IOC,OIL & GAS,88.3,2.495647127
12-06-2020,ITC,CONSUMER GOODS,193.9,-3.315881326
12-06-2020,JSWSTEEL,METALS,188.95,-2.577984016
12-06-2020,KOTAKBANK,FINANCIAL SERVICES,1279.8,2.515219481
12-06-2020,LT,CONSTRUCTION,926.4,-0.18854711
12-06-2020,M&M,AUTOMOBILE,508.45,10.26892214
12-06-2020,MARUTI,AUTOMOBILE,5561.75,-4.001829605
12-06-2020,NESTLEIND,CONSUMER GOODS,16496.3,-3.998905924
12-06-2020,NTPC,POWER,96.9,-1.02145046
12-06-2020,ONGC,OIL & GAS,83.9,-0.059559261
12-06-2020,POWERGRID,POWER,166.3,4.689959081
12-06-2020,RELIANCE,OIL & GAS,1588.8,4.502252771
12-06-2020,SBIN,FINANCIAL SERVICES,179.15,5.351367245
12-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,22392.65,6.280687349
12-06-2020,SUNPHARMA,PHARMA,480.1,3.15857327
12-06-2020,TATAMOTORS,AUTOMOBILE,105.3,17.5879397
12-06-2020,TATASTEEL,METALS,317.6,0.76142132
12-06-2020,TCS,IT,2039.5,-0.281139225
12-06-2020,TECHM,IT,554.7,2.051329225
12-06-2020,TITAN,CONSUMER GOODS,977.7,1.960579831
