Date,Sector,Ticker,Close,Return
11-05-2020,AUTOMOBILE,EICHERMOT,14288.95,3.928706505
11-05-2020,OIL & GAS,GAIL,92.05,-1.550802139
11-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,504.45,5.302160526
11-05-2020,IT,HCLTECH,527.55,2.586290715
11-05-2020,FINANCIAL SERVICES,HDFC,1658.45,-3.821729927
11-05-2020,FINANCIAL SERVICES,HDFCBANK,915.8,-0.780065005
11-05-2020,AUTOMOBILE,HEROMOTOCO,2088.65,4.395961414
11-05-2020,METALS,HINDALCO,119.75,3.321829163
11-05-2020,CONSUMER GOODS,HINDUNILVR,2048,-1.663745709
11-05-2020,FINANCIAL SERVICES,ICICIBANK,320.15,-5.295074693
11-05-2020,FINANCIAL SERVICES,INDUSINDBK,433.4,2.446519324
11-05-2020,TELECOM,INFRATEL,183.6,8.961424332
11-05-2020,IT,INFY,682.9,1.365592994
11-05-2020,OIL & GAS,IOC,75.35,-5.517241379
11-05-2020,CONSUMER GOODS,ITC,158.45,-8.962941683
11-05-2020,METALS,JSWSTEEL,174.55,6.725771935
11-05-2020,FINANCIAL SERVICES,KOTAKBANK,1188.45,-6.992487087
11-05-2020,CONSTRUCTION,LT,821.6,-3.415035561
11-05-2020,AUTOMOBILE,M&M,390.1,9.256406666
11-05-2020,AUTOMOBILE,MARUTI,4937.8,1.053967214
11-05-2020,CONSUMER GOODS,NESTLEIND,17562.1,0.60522042
11-05-2020,POWER,NTPC,86.65,-5.24876982
11-05-2020,OIL & GAS,ONGC,77.05,0.653167864
11-05-2020,POWER,POWERGRID,158.8,-0.157183276
11-05-2020,OIL & GAS,RELIANCE,1576.8,9.866220736
11-05-2020,FINANCIAL SERVICES,SBIN,165.45,-7.492311993
11-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,18914.9,1.556510067
11-05-2020,PHARMA,SUNPHARMA,463.85,-0.343753357
11-05-2020,AUTOMOBILE,TATAMOTORS,86.1,2.622169249
11-05-2020,METALS,TATASTEEL,276.2,0.950292398
11-05-2020,IT,TCS,1935.3,0.251236758
11-05-2020,IT,TECHM,530.2,5.522937606
11-05-2020,CONSUMER GOODS,TITAN,829.6,-6.979873297
11-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3360.75,0.392818736
11-05-2020,FERTILISERS & PESTICIDES,UPL,368.1,-4.488842761
11-05-2020,METALS,VEDL,79.6,-0.437773609
11-05-2020,IT,WIPRO,184.7,-2.815048671
11-05-2020,MEDIA & ENTERTAINMENT,ZEEL,155.4,6.147540984
12-05-2020,SERVICES,ADANIPORTS,291.5,9.442462925
12-05-2020,CONSUMER GOODS,ASIANPAINT,1523.35,-9.151359733
12-05-2020,FINANCIAL SERVICES,AXISBANK,386.85,-3.959781529
12-05-2020,AUTOMOBILE,BAJAJ-AUTO,2628.85,7.644903057
12-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4668.2,-1.976965154
12-05-2020,FINANCIAL SERVICES,BAJFINANCE,2069.7,-0.478445892
12-05-2020,TELECOM,BHARTIARTL,559.85,5.136150235
12-05-2020,OIL & GAS,BPCL,312.5,-10.17533774
12-05-2020,CONSUMER GOODS,BRITANNIA,3107.3,0.463958357
12-05-2020,PHARMA,CIPLA,570.15,-6.81539593
12-05-2020,METALS,COALINDIA,126.85,-10.85734364
12-05-2020,PHARMA,DRREDDY,3773.4,-4.204112719
12-05-2020,AUTOMOBILE,EICHERMOT,14167.05,3.042083673
12-05-2020,OIL & GAS,GAIL,88.7,-5.13368984
12-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,517.95,8.120237971
12-05-2020,IT,HCLTECH,527.4,2.557122022
12-05-2020,FINANCIAL SERVICES,HDFC,1674.1,-2.914141561
12-05-2020,FINANCIAL SERVICES,HDFCBANK,901.55,-2.323943662
12-05-2020,AUTOMOBILE,HEROMOTOCO,2114.3,5.678012696
12-05-2020,METALS,HINDALCO,121.1,4.486626402
12-05-2020,CONSUMER GOODS,HINDUNILVR,2011.55,-3.413919766
12-05-2020,FINANCIAL SERVICES,ICICIBANK,321.2,-4.984469753
12-05-2020,FINANCIAL SERVICES,INDUSINDBK,446.2,5.472166411
12-05-2020,TELECOM,INFRATEL,189.6,12.52225519
12-05-2020,IT,INFY,687.65,2.070654594
12-05-2020,OIL & GAS,IOC,74.9,-6.081504702
12-05-2020,CONSUMER GOODS,ITC,165.05,-5.170927894
12-05-2020,METALS,JSWSTEEL,178.2,8.95750535
12-05-2020,FINANCIAL SERVICES,KOTAKBANK,1157.2,-9.438096729
12-05-2020,CONSTRUCTION,LT,814.8,-4.214424264
12-05-2020,AUTOMOBILE,M&M,393.05,10.08262148
12-05-2020,AUTOMOBILE,MARUTI,4951.3,1.330249882
12-05-2020,CONSUMER GOODS,NESTLEIND,17461.95,0.031506979
12-05-2020,POWER,NTPC,91.65,0.218698742
12-05-2020,OIL & GAS,ONGC,76.3,-0.326583932
12-05-2020,POWER,POWERGRID,163.3,2.672115687
12-05-2020,OIL & GAS,RELIANCE,1479.25,3.06925864
12-05-2020,FINANCIAL SERVICES,SBIN,166.9,-6.68157674
12-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,19127.2,2.696375839
12-05-2020,PHARMA,SUNPHARMA,463.9,-0.333011065
12-05-2020,AUTOMOBILE,TATAMOTORS,86.2,2.74135876
12-05-2020,METALS,TATASTEEL,273.95,0.127923977
12-05-2020,IT,TCS,1949.5,0.986816545
12-05-2020,IT,TECHM,533.25,6.12996318
12-05-2020,CONSUMER GOODS,TITAN,846.45,-5.090542132
12-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3349.35,0.052276258
12-05-2020,FERTILISERS & PESTICIDES,UPL,374.55,-2.815256876
12-05-2020,METALS,VEDL,89.05,11.38211382
12-05-2020,IT,WIPRO,187.05,-1.578531965
12-05-2020,MEDIA & ENTERTAINMENT,ZEEL,155.05,5.908469945
13-05-2020,SERVICES,ADANIPORTS,309.35,16.1441712
13-05-2020,CONSUMER GOODS,ASIANPAINT,1563.3,-6.76884542
13-05-2020,FINANCIAL SERVICES,AXISBANK,414,2.780536246
13-05-2020,AUTOMOBILE,BAJAJ-AUTO,2696,10.39452941
13-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4816.4,1.134943883
13-05-2020,FINANCIAL SERVICES,BAJFINANCE,2161.05,3.914120164
13-05-2020,TELECOM,BHARTIARTL,555.95,4.403755869
13-05-2020,OIL & GAS,BPCL,316.55,-9.011210118
13-05-2020,CONSUMER GOODS,BRITANNIA,3079.55,-0.433243344
13-05-2020,PHARMA,CIPLA,570.2,-6.807223993
13-05-2020,METALS,COALINDIA,130.6,-8.222066058
13-05-2020,PHARMA,DRREDDY,3779.6,-4.046712364
13-05-2020,AUTOMOBILE,EICHERMOT,14271.65,3.802877342
13-05-2020,OIL & GAS,GAIL,89.35,-4.438502674
13-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,522.95,9.163970358
13-05-2020,IT,HCLTECH,528.75,2.819640253
13-05-2020,FINANCIAL SERVICES,HDFC,1712.75,-0.672717256
13-05-2020,FINANCIAL SERVICES,HDFCBANK,927.65,0.503791983
13-05-2020,AUTOMOBILE,HEROMOTOCO,2187.6,9.341730394
13-05-2020,METALS,HINDALCO,123.55,6.600517688
13-05-2020,CONSUMER GOODS,HINDUNILVR,1995.75,-4.172568603
13-05-2020,FINANCIAL SERVICES,ICICIBANK,338.05,0
13-05-2020,FINANCIAL SERVICES,INDUSINDBK,448.6,6.039475239
13-05-2020,TELECOM,INFRATEL,196.15,16.40949555
13-05-2020,IT,INFY,694.15,3.035475731
13-05-2020,OIL & GAS,IOC,76,-4.702194357
13-05-2020,CONSUMER GOODS,ITC,165.4,-4.969836254
13-05-2020,METALS,JSWSTEEL,182.35,11.49495567
13-05-2020,FINANCIAL SERVICES,KOTAKBANK,1186.7,-7.129441227
13-05-2020,CONSTRUCTION,LT,862.9,1.440075237
13-05-2020,AUTOMOBILE,M&M,413.05,15.68407786
13-05-2020,AUTOMOBILE,MARUTI,5036.1,3.065714344
13-05-2020,CONSUMER GOODS,NESTLEIND,16512.35,-5.408316124
13-05-2020,POWER,NTPC,93.05,1.74958994
13-05-2020,OIL & GAS,ONGC,78.2,2.155453952
13-05-2020,POWER,POWERGRID,166.65,4.778371581
13-05-2020,OIL & GAS,RELIANCE,1496.45,4.267697882
13-05-2020,FINANCIAL SERVICES,SBIN,174.1,-2.655856863
13-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,19763.25,6.111409396
13-05-2020,PHARMA,SUNPHARMA,452.35,-2.81448061
13-05-2020,AUTOMOBILE,TATAMOTORS,87.2,3.933253874
13-05-2020,METALS,TATASTEEL,276.55,1.078216374
13-05-2020,IT,TCS,1949.65,0.994586754
13-05-2020,IT,TECHM,544.75,8.418748134
13-05-2020,CONSUMER GOODS,TITAN,860.45,-3.52077143
13-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3546.7,5.947544509
13-05-2020,FERTILISERS & PESTICIDES,UPL,389.65,1.102750389
13-05-2020,METALS,VEDL,90.25,12.88305191
13-05-2020,IT,WIPRO,189.7,-0.184162063
13-05-2020,MEDIA & ENTERTAINMENT,ZEEL,165.15,12.80737705
14-05-2020,SERVICES,ADANIPORTS,308.4,15.78749765
14-05-2020,CONSUMER GOODS,ASIANPAINT,1522.4,-9.208015267
14-05-2020,FINANCIAL SERVICES,AXISBANK,401.95,-0.21102284
14-05-2020,AUTOMOBILE,BAJAJ-AUTO,2702.65,10.66683046
14-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4790.25,0.585845223
14-05-2020,FINANCIAL SERVICES,BAJFINANCE,2112,1.555550213
14-05-2020,TELECOM,BHARTIARTL,539.85,1.38028169
14-05-2020,OIL & GAS,BPCL,309.7,-10.98016671
14-05-2020,CONSUMER GOODS,BRITANNIA,3118.7,0.832538515
14-05-2020,PHARMA,CIPLA,569.75,-6.880771431
14-05-2020,METALS,COALINDIA,128.65,-9.592410401
14-05-2020,PHARMA,DRREDDY,3732,-5.255140899
14-05-2020,AUTOMOBILE,EICHERMOT,14031.85,2.058725125
14-05-2020,OIL & GAS,GAIL,85.45,-8.609625668
14-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,511.4,6.752948544
14-05-2020,IT,HCLTECH,517.45,0.622265435
